,Station,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Bayfront,Boutique,Scenic Lookout,Garden,Bridge,Hotel,Waterfront,Lounge,Roof Deck,Dim Sum Restaurant,Exhibit
1,Bishan,Coffee Shop,Food Court,Bubble Tea Shop,Cosmetics Shop,Ice Cream Shop,Café,Supermarket,Chinese Restaurant,Japanese Restaurant,Dumpling Restaurant
2,Bugis,Bakery,Café,Hotel,Cocktail Bar,Chinese Restaurant,Dessert Shop,Coffee Shop,Japanese Restaurant,Thai Restaurant,Sushi Restaurant
3,Bukit Panjang,Fast Food Restaurant,Café,Coffee Shop,Shopping Mall,Noodle House,Bubble Tea Shop,Gym,Asian Restaurant,Sushi Restaurant,Restaurant
4,Buona Vista,Japanese Restaurant,Indian Restaurant,Bakery,Café,Shopping Mall,Food Court,Performing Arts Venue,Coffee Shop,Optical Shop,Chinese Restaurant
5,Chinatown,Chinese Restaurant,Food Court,Hostel,Vegetarian / Vegan Restaurant,French Restaurant,Spa,Italian Restaurant,Japanese Restaurant,Café,Restaurant
6,Choa Chu Kang,Coffee Shop,Food Court,Italian Restaurant,Thai Restaurant,Portuguese Restaurant,Sandwich Place,Fast Food Restaurant,Chinese Restaurant,Shop & Service,Café
7,City Hall,Hotel,Japanese Restaurant,Shopping Mall,French Restaurant,Coffee Shop,Steakhouse,Bookstore,Café,Cocktail Bar,Concert Hall
8,Dhoby Ghaut,Café,Hotel,Park,Japanese Restaurant,Hobby Shop,Bubble Tea Shop,Museum,Dessert Shop,Theater,Cosmetics Shop
9,Expo,Café,Coffee Shop,Japanese Restaurant,Chinese Restaurant,Fast Food Restaurant,Indian Restaurant,Bar,Sandwich Place,Hotel,Sporting Goods Shop
10,HarbourFront,Chinese Restaurant,Japanese Restaurant,Toy / Game Store,Fast Food Restaurant,Clothing Store,Bakery,Multiplex,Coffee Shop,Shopping Mall,Frozen Yogurt Shop
11,Jurong East,Chinese Restaurant,Coffee Shop,Food Court,Café,Japanese Restaurant,Shopping Mall,Steakhouse,Korean Restaurant,Bubble Tea Shop,Clothing Store
12,Little India,Indian Restaurant,Vegetarian / Vegan Restaurant,Sporting Goods Shop,Playground,Restaurant,Hotel,Rock Club,Hospital,BBQ Joint,Coffee Shop
13,MacPherson,Food Court,Furniture / Home Store,Asian Restaurant,Gym,Metro Station,Thai Restaurant,Hobby Shop,Climbing Gym,BBQ Joint,Fast Food Restaurant
14,Marina Bay,Yoga Studio,Seafood Restaurant,Bus Line,Gastropub,Government Building,Harbor / Marina,Mexican Restaurant,Spanish Restaurant,Building,Coffee Shop
15,Newton,Chinese Restaurant,Seafood Restaurant,Italian Restaurant,Hotel Bar,Thai Restaurant,Pool,Convenience Store,Food Court,Café,Noodle House
16,Outram Park,Café,Chinese Restaurant,Italian Restaurant,Japanese Restaurant,Burger Joint,Food Court,Coffee Shop,French Restaurant,Beer Garden,Cocktail Bar
17,Paya Lebar,Shopping Mall,Fast Food Restaurant,Coffee Shop,Asian Restaurant,Bakery,Food Court,Supermarket,Snack Place,Noodle House,Ramen Restaurant
18,Promenade,Hotel Bar,Hotel,Racetrack,Buffet,Event Space,Dim Sum Restaurant,Clothing Store,Bakery,Lounge,Italian Restaurant
19,Punggol,Supermarket,Discount Store,Clothing Store,Fast Food Restaurant,Chinese Restaurant,Japanese Restaurant,Café,Bus Line,Steakhouse,Market
20,Raffles Place,Hotel,Coffee Shop,Food Court,Café,Gym,Salad Place,Cocktail Bar,Sandwich Place,Waterfront,Comfort Food Restaurant
21,Sengkang,Fast Food Restaurant,Coffee Shop,Bus Station,Food Court,Bakery,Gym / Fitness Center,Bus Stop,Café,Shopping Mall,Steakhouse
22,Serangoon,Coffee Shop,Chinese Restaurant,Clothing Store,Ice Cream Shop,Japanese Restaurant,Korean Restaurant,Noodle House,Fast Food Restaurant,Bubble Tea Shop,Soup Place
23,Tampines,Café,Bakery,Coffee Shop,Gym,Fast Food Restaurant,Food Court,Chinese Restaurant,Shopping Mall,Supermarket,Sushi Restaurant
24,Tanah Merah,Indian Restaurant,Noodle House,Bus Line,Malay Restaurant,Bus Station,Coffee Shop,Smoke Shop,Food Court,Steakhouse,Flower Shop
25,Woodlands,Café,Coffee Shop,Japanese Restaurant,Shopping Mall,Chinese Restaurant,Indian Restaurant,Electronics Store,Fast Food Restaurant,Asian Restaurant,Clothing Store
26,Woodlands North,Taxi,Yoga Studio,Garden,Furniture / Home Store,Fruit & Vegetable Store,Frozen Yogurt Shop,Fried Chicken Joint,French Restaurant,Food Court,Flower Shop
